gene_names	FPKM_data	spot_count	pixel_count	mean_pixels	mean_closest_distance	property	gene_or_blank
Mybbp1a	63.9495	45664.0	191069.0	4.184237035739313	0.32575507673302456	0.5969018736395191	gene
Uba1	157.4654	44858.0	164953.0	3.6772259128806457	0.3393353010189342	0.5237996519386958	gene
Plxnb2	47.5498	26884.0	103566.0	3.8523285225412884	0.3341055175870454	0.5691163712612022	gene
Glul	122.2739	21993.0	93468.0	4.249897694721048	0.32334707369899557	0.6014725134841059	gene
Ddx3x	253.0257	20192.0	71205.0	3.5263965927099843	0.3510595193370024	0.5718031464640745	gene
Ganab	97.641	17928.0	68112.0	3.7991967871485945	0.3428213195959231	0.5560378932135924	gene
Glud1	142.6689	14862.0	53278.0	3.584847261472211	0.3562521097341353	0.5739217478357872	gene
Slc38a2	82.3539	14486.0	53019.0	3.660016567720558	0.34515108565800623	0.5325585973362162	gene
Ddx17	83.6818	14176.0	47893.0	3.378456546275395	0.36187829534559857	0.503609103975085	gene
Acly	71.9906	11765.0	39312.0	3.341436464088398	0.3602762938665869	0.5502587549837805	gene
Cdc42bpb	13.1609	11343.0	43645.0	3.8477475094772107	0.34654833711897465	0.5888141214757541	gene
Ide	57.5497	8656.0	27973.0	3.23163123844732	0.3700443299698866	0.5303953873506678	gene
Ube2z	27.5921	8576.0	31728.0	3.699626865671642	0.33835648569662713	0.5492987292531912	gene
Hnf4a	62.2998	8471.0	34931.0	4.123598158422855	0.3312569044948191	0.7069480730559494	gene
Clptm1	64.7094	8230.0	26877.0	3.2657351154313488	0.36058642353221365	0.4874153380780422	gene
Golga4	23.0089	8222.0	34385.0	4.182072488445634	0.3327943866998247	0.59490907383166	gene
Flnb	34.6787	8062.0	32055.0	3.9760605308856363	0.33086136391401955	0.5528726458963266	gene
Gns	18.4587	7867.0	30226.0	3.842125333672302	0.35094991735611364	0.5798281157775577	gene
Dennd5a	21.9303	7808.0	31623.0	4.050076844262295	0.3352625398924872	0.5827061688830095	gene
Zdhhc5	18.797	7424.0	29160.0	3.927801724137931	0.3339478460392985	0.554773318333443	gene
Paxip1	17.6712	6528.0	23279.0	3.5660232843137254	0.3571145736613365	0.5904463387502807	gene
Gpam	19.7468	6463.0	26440.0	4.090979421321368	0.3333769444464295	0.6040242471748004	gene
Flii	25.7809	6306.0	23115.0	3.665556612749762	0.33507805869936774	0.6370169024913267	gene
Cpt1a	23.9917	6229.0	23406.0	3.7575854872371166	0.34525904007278496	0.5403569540803166	gene
Sox9	3.022	4752.0	16005.0	3.3680555555555554	0.358485352769823	0.5463671961305939	gene
Zhx2	2.6808	4360.0	18530.0	4.25	0.33316605580190706	0.604636562203415	gene
Bcl9l	2.235	4126.0	16278.0	3.945225399903054	0.3523188401391803	0.5986088518494352	gene
Stat2	5.3353	4122.0	16164.0	3.921397379912664	0.33835391124921216	0.5960686780494958	gene
Ranbp2	54.1498	3801.0	14311.0	3.7650618258353066	0.3466793577768634	0.6098593762926653	gene
Hnf1b	5.9651	3773.0	12497.0	3.312218393851047	0.3617599819045647	0.5359171277672294	gene
Abcc3	27.9824	3714.0	12228.0	3.2924071082390953	0.3514659081447241	0.5470430043269304	gene
Nol6	6.3759	3632.0	13518.0	3.7219162995594712	0.3438607597446577	0.5742469251612351	gene
Gpd2	18.4256	3616.0	12364.0	3.4192477876106193	0.3442471184427068	0.5552395534042794	gene
Capn5	7.4754	2695.0	9268.0	3.4389610389610388	0.36323771271477745	0.5340961733326451	gene
Tecpr1	12.1813	2407.0	8292.0	3.4449522226838387	0.36131854113503153	0.5472923501606637	gene
1700017B05Rik	12.6265	2213.0	7854.0	3.5490284681427924	0.3452544498240118	0.5131387685879965	gene
Ube3a	65.1266	2193.0	7275.0	3.317373461012312	0.357510463900889	0.4995473141286291	gene
Golga2	8.1833	2177.0	8287.0	3.806614607257694	0.34614643268475	0.6683231941397765	gene
Scap	17.4811	2049.0	6919.0	3.3767691556857002	0.3519564111088393	0.6090415557416323	gene
Ncs1	2.0501	1845.0	7530.0	4.08130081300813	0.3468694153558479	0.5896847075435296	gene
Plekhm2	2.3333	1801.0	6908.0	3.83564686285397	0.35078230541597555	0.6339495012162147	gene
Megf8	5.6888	1751.0	5541.0	3.164477441462022	0.3537873968523489	0.48569001689746116	gene
Cog3	12.1443	1673.0	6030.0	3.6043036461446505	0.3543537539365054	0.5602288299660342	gene
Taok1	20.5586	1667.0	4918.0	2.9502099580083985	0.36233171201199676	0.47184777879874096	gene
Iffo2	10.9174	1633.0	5363.0	3.28413962033068	0.36609600817274845	0.5046705630055056	gene
Exoc2	9.6706	1581.0	5576.0	3.5268817204301075	0.3483417043502953	0.5482614858726235	gene
Pdxk	5.2795	1489.0	4957.0	3.3290799194089993	0.35667219525915694	0.5464812612265623	gene
Tomm20	141.9777	1406.0	5815.0	4.135846372688478	0.32964512090197673	0.5676008279825125	gene
Ankrd26	6.2755	1357.0	4796.0	3.5342667649226236	0.35506698533533576	0.6132072995627834	gene
Brip1	12.0383	1344.0	4562.0	3.394345238095238	0.3524670065988073	0.5030165718772182	gene
Dgkq	6.6083	1326.0	4547.0	3.4291101055806936	0.3656344226323815	0.5334777011188039	gene
Mphosph9	6.3165	1295.0	4328.0	3.342084942084942	0.3595909412155509	0.5350471840346345	gene
Abca5	6.3892	1285.0	3491.0	2.7167315175097277	0.3845787625236391	0.48834721851508006	gene
Tbc1d9	1.083	1174.0	4669.0	3.9770017035775127	0.3367817691917133	0.6478450041701483	gene
Enpp4	13.6075	1053.0	3375.0	3.2051282051282053	0.3516594034182576	0.5140146801829897	gene
Vwa8	8.0718	928.0	3029.0	3.2640086206896552	0.35759790111716705	0.5507370796645732	gene
Tbl1xr1	27.3415	925.0	2761.0	2.984864864864865	0.3731239340268009	0.5487434442164412	gene
Vcpip1	7.4876	903.0	2574.0	2.8504983388704317	0.3726789260658496	0.4773275325581653	gene
Sptlc2	58.8505	738.0	2198.0	2.978319783197832	0.3699753044435796	0.5277160786933379	gene
Vps13c	4.68	723.0	2093.0	2.8948824343015214	0.3721956287641353	0.5020894309050385	gene
Mob3b	1.5219	720.0	2228.0	3.0944444444444446	0.3762353043049124	0.5223485835735477	gene
Cdk19	9.4015	715.0	2188.0	3.06013986013986	0.3748973670460342	0.5463814114312044	gene
AW554918	2.1613	712.0	2728.0	3.831460674157303	0.3529705436271201	0.5859622237565736	gene
Add3	4.5888	684.0	2153.0	3.1476608187134505	0.3644568996587772	0.5086038380972325	gene
Alms1	4.1423	636.0	2101.0	3.3034591194968552	0.36481120812629775	0.5753200717359641	gene
Tln2	4.1955	597.0	1592.0	2.6666666666666665	0.39140380574741424	0.4955461686021958	gene
Il4ra	7.1228	554.0	1919.0	3.463898916967509	0.3609224295077307	0.5270099477090523	gene
Atp11b	13.8546	515.0	1444.0	2.803883495145631	0.37699404397570535	0.4616916787482153	gene
Wdr19	2.0389	485.0	1621.0	3.3422680412371135	0.372508464164156	0.5533092473910423	gene
G6pc	0.010704	462.0	1186.0	2.567099567099567	0.40667783068977087	0.4829200135019789	gene
Kif7	0.91081	391.0	1306.0	3.340153452685422	0.3566954195172906	0.5477788287796882	gene
Rasa1	48.1876	382.0	1059.0	2.7722513089005236	0.38805072347261554	0.5183735396602348	gene
Ammecr1	3.5763	380.0	1129.0	2.971052631578947	0.37643182259323626	0.4902176523469157	gene
Dync2h1	3.5979	352.0	1184.0	3.3636363636363638	0.35364774594502696	0.5954140213039419	gene
Krt7	17.3641	349.0	844.0	2.4183381088825215	0.4015393237790733	0.44942239077952856	gene
Fastkd2	30.5657	327.0	861.0	2.63302752293578	0.38890269791109644	0.4730204370628535	gene
Fam102b	4.9658	286.0	903.0	3.1573426573426575	0.36782365514693577	0.5520623630774132	gene
Rhbdd2	3.3559	260.0	769.0	2.957692307692308	0.3717256552681402	0.5248754180905685	gene
Ccdc88b	0.19915	256.0	702.0	2.7421875	0.3985141593386728	0.5290427584861125	gene
Nova2	0.039133999999999995	255.0	627.0	2.458823529411765	0.41173127248700836	0.5701984974067161	gene
Hcn3	0.48748	238.0	622.0	2.6134453781512605	0.40038462000592595	0.520386170649523	gene
Setbp1	0.40826999999999997	205.0	637.0	3.107317073170732	0.37656686421232993	0.5290860606884807	gene
Lrrc16b	0.58313	205.0	485.0	2.3658536585365852	0.4213409297914138	0.49706010903022424	gene
Mcam	0.69179	186.0	629.0	3.381720430107527	0.37176322662373673	0.6121283017400153	gene
Blank3	0.0	185.0	405.0	2.189189189189189	0.41790050148939967	0.4427218270846574	blank
Pck1	0.0508	174.0	400.0	2.2988505747126435	0.42219748034742766	0.4942253486112891	gene
Tmed8	2.3264	172.0	502.0	2.9186046511627906	0.37365090039215837	0.5067547296305077	gene
Fads6	1.8735	169.0	538.0	3.1834319526627217	0.3682233775382286	0.560808658463785	gene
Igf1	0.12376	166.0	378.0	2.2771084337349397	0.41371400486802595	0.45625373547120124	gene
Hecw2	0.24386	165.0	376.0	2.278787878787879	0.40686304780394217	0.4429789170080443	gene
Armcx4	0.043819	157.0	482.0	3.070063694267516	0.3899579784819558	0.5419995472297432	gene
Zfp870	1.4527	149.0	360.0	2.4161073825503356	0.41262745483792307	0.5202403462224402	gene
Blank1	0.0	145.0	348.0	2.4	0.42652218102403183	0.5272175652292098	blank
Itga4	0.9838899999999999	143.0	312.0	2.1818181818181817	0.41774854388055893	0.4602252389723134	gene
Dpyd	0.11855	143.0	322.0	2.2517482517482517	0.4281821411207377	0.4727394749697017	gene
Plag1	1.1419	143.0	393.0	2.7482517482517483	0.38506284657327905	0.4807477591411124	gene
C3ar1	0.11839000000000001	138.0	298.0	2.1594202898550723	0.419560074700455	0.4140988116982793	gene
