gene_names	FPKM_data	spot_count	pixel_count	mean_pixels	mean_closest_distance	property	gene_or_blank
Glul	978.545	116054.0	576659.0	4.968885174143072	0.347788939588537	0.5759636537218882	gene
Krt7	0.09	25993.0	77777.0	2.9922286769514868	0.3882712831113057	0.4496764461889702	gene
Ncs1	63.63	22033.0	100545.0	4.563382199428131	0.33874318647333046	0.6426220011850603	gene
Bcl9l	5.15	9452.0	26180.0	2.7697841726618706	0.39470329074850785	0.4849593525485772	gene
Dennd5a	54.5	9126.0	37459.0	4.104646066184528	0.35757391049933374	0.6047354110266543	gene
Tomm20	41.575	8476.0	32448.0	3.8282208588957056	0.3629262606725071	0.6725377832866476	gene
Ddx17	163.755	8399.0	29571.0	3.5207762828908202	0.3831394029300142	0.6218414521852818	gene
Glud1	76.69	8282.0	33227.0	4.011953634387829	0.360212055888049	0.6025284940344028	gene
Sox9	8.375	7988.0	23431.0	2.9332749123685526	0.39808075325493797	0.6050130043319699	gene
Ddx3x	32.5	7050.0	26816.0	3.8036879432624113	0.3619980954087648	0.7246987108981281	gene
Tppp	82.235	5579.0	20606.0	3.6934934576088905	0.3638266837493045	0.6587536455064613	gene
Uba1	77.73	5446.0	14991.0	2.7526625045905253	0.395212113524769	0.4667548258159139	gene
Golga4	10.11	5384.0	20474.0	3.802748885586924	0.3683301741652722	0.6029634083352196	gene
Tbc1d9	24.105	5170.0	18724.0	3.6216634429400387	0.3691716698108037	0.70136752302153	gene
Ube2z	19.39	5140.0	15161.0	2.9496108949416344	0.38971856862066273	0.5118907154486343	gene
Taok1	12.835	4571.0	16764.0	3.667468825202363	0.36685800875232205	0.6311315444508634	gene
Armcx4	6.98	4540.0	19674.0	4.333480176211454	0.3585817903615644	0.7414415008050748	gene
Zcchc24	16.435	4193.0	15632.0	3.728118292392082	0.3683872954401033	0.5443398369694719	gene
Blank4	0.0	4166.0	10576.0	2.5386461833893423	0.4005038912916575	0.44003319395090934	blank
G6pc	0.0	4035.0	9843.0	2.4394052044609666	0.4040432870723406	0.4051727361377759	gene
Cog3	9.23	3995.0	10909.0	2.7306633291614517	0.4002517866419352	0.5125962642410126	gene
Clptm1	33.45	3899.0	11277.0	2.8922800718132855	0.39288587425638277	0.5009703042600459	gene
Acly	35.72	3657.0	11206.0	3.0642603226688543	0.3887208531191022	0.5622786665556042	gene
Mphosph9	6.355	3569.0	9072.0	2.541888484169235	0.40196939414619376	0.4456144690174949	gene
Plekhm2	25.19	3553.0	14098.0	3.9679144385026737	0.35632645062019885	0.6061844783221125	gene
Gpam	15.02	3517.0	13562.0	3.856127381290873	0.3684763344543675	0.6156597397062124	gene
Ube3a	6.225	3482.0	12362.0	3.550258472142447	0.3740591665569653	0.5988352709709442	gene
Gns	17.74	3385.0	11562.0	3.4156573116691287	0.3852184708551123	0.6430967808971875	gene
Abca5	4.465	3374.0	9068.0	2.6876111440426795	0.3961790304480406	0.5974649149474234	gene
Vcpip1	4.73	3237.0	9471.0	2.9258572752548657	0.38605516074946056	0.5594304299034539	gene
Paxip1	11.34	3215.0	9097.0	2.82954898911353	0.39145241830319955	0.5302321931800205	gene
Slc38a2	26.225	3024.0	9264.0	3.0634920634920637	0.38379541140011736	0.5775553934537361	gene
Pdxk	32.575	2903.0	9898.0	3.4095763003789186	0.3712492893806552	0.5597433378113057	gene
Add3	28.28	2881.0	9345.0	3.2436653939604305	0.3895583990948432	0.5224505370926747	gene
Ide	9.225	2722.0	8772.0	3.2226304188096986	0.3923362636710142	0.5909275425930884	gene
Mcam	6.375	2693.0	8460.0	3.141477905681396	0.3890665557819631	0.6390267916120664	gene
Sgpp2	4.6	2673.0	7721.0	2.888514777403666	0.3945238441473991	0.544201752949502	gene
Capn5	11.81	2612.0	6885.0	2.6359111791730476	0.40152237503130833	0.4497458618838048	gene
Cdc42bpb	34.105	2524.0	8387.0	3.3229001584786055	0.3842903056245991	0.5513300664512522	gene
Atp11b	26.895	2515.0	7065.0	2.809145129224652	0.3958614927481914	0.5197863423553395	gene
Zdhhc5	10.715	2458.0	8093.0	3.2925142392188773	0.38125788329099664	0.5429656667086084	gene
Uox	0.1	2452.0	6151.0	2.5085644371941274	0.40164735201220025	0.531695500192823	gene
Stat2	7.385	2433.0	6597.0	2.711467324290999	0.39945180875969727	0.47359106569985127	gene
Nova2	10.945	2350.0	7797.0	3.3178723404255317	0.3828017928218877	0.666921855318603	gene
Tln2	10.23	2235.0	6519.0	2.916778523489933	0.3921745660153088	0.5144796514474296	gene
Gpd2	17.41	2203.0	7725.0	3.506581933726736	0.36655807220495057	0.5712933970380565	gene
Zhx2	4.785	2152.0	6661.0	3.095260223048327	0.3862243364298827	0.47835553607985176	gene
Dgkq	4.12	2114.0	5703.0	2.697729422894986	0.40171786599272824	0.4532852149685997	gene
Cftr	0.22	2071.0	5007.0	2.417672621921777	0.4066689492908153	0.4884164045448665	gene
AW554918	2.695	1986.0	5905.0	2.973313192346425	0.382622364883148	0.5378028296482552	gene
Cpt1a	9.49	1873.0	5903.0	3.1516284036305393	0.38572607879263615	0.469218893061041	gene
Golga2	21.98	1863.0	5529.0	2.967793880837359	0.39157826937625456	0.6147610938213314	gene
Pcdh17	6.325	1849.0	5492.0	2.9702541914548406	0.38584096476264557	0.5743842856322383	gene
Fam102b	14.635	1845.0	5100.0	2.7642276422764227	0.3924857243393966	0.49539139964813544	gene
Sema3g	1.5	1820.0	5019.0	2.7576923076923077	0.39857683193957916	0.46927851138913923	gene
Chic1	5.225	1815.0	5727.0	3.1553719008264465	0.38180366206307476	0.5631710676727429	gene
1700017B05Rik	1.46	1805.0	4431.0	2.454847645429363	0.40772240927002845	0.40675992095972974	gene
Blank3	0.0	1804.0	4082.0	2.262749445676275	0.40068822165431933	0.38499346380964156	blank
Flnb	12.315	1764.0	4674.0	2.6496598639455784	0.39604394011281724	0.5173329630167814	gene
Igdcc4	10.47	1709.0	5599.0	3.2761849034523114	0.38777878647948016	0.5405646197314803	gene
Lrrc3	2.42	1646.0	4076.0	2.4763061968408264	0.40290540094981675	0.45285742429118625	gene
Exoc2	10.615	1605.0	4719.0	2.9401869158878506	0.3926709584945061	0.5562822999952958	gene
Mob3b	1.395	1499.0	4069.0	2.71447631754503	0.40082875388823913	0.5466118292008192	gene
Tecpr1	21.24	1491.0	4103.0	2.7518443997317235	0.3992949558710617	0.5246813395964233	gene
Cdh5	5.555	1475.0	4293.0	2.9105084745762713	0.39751102528373894	0.49207689431805446	gene
Nol6	23.52	1458.0	4251.0	2.9156378600823047	0.3922050092283505	0.5244880596042153	gene
Fads6	5.365	1444.0	3821.0	2.6461218836565097	0.4009144966200381	0.501605764190621	gene
Mybbp1a	14.995	1427.0	4383.0	3.071478626489138	0.3858979027367022	0.5474741343629643	gene
Adcy7	1.15	1414.0	4016.0	2.84016973125884	0.3900729298413695	0.49071045718445777	gene
Ganab	30.135	1382.0	3931.0	2.8444283646888566	0.3895948245764764	0.5485608588962234	gene
Dpyd	1.17	1381.0	3856.0	2.792179580014482	0.3980698113701873	0.49151845407727446	gene
Brip1	0.025	1371.0	3342.0	2.437636761487965	0.40650471901467744	0.46246275610354887	gene
Igf1	4.995	1352.0	3584.0	2.6508875739644973	0.393214605353197	0.5383757106580699	gene
Iffo2	4.1	1293.0	3336.0	2.5800464037122968	0.40412009228943957	0.4857290975090591	gene
Hcn3	11.115	1290.0	3069.0	2.3790697674418606	0.4019853297068222	0.4327881487640121	gene
