gene_names	FPKM_data	spot_count	pixel_count	mean_pixels	mean_closest_distance	property	gene_or_blank
Cps1	512.62	91836.0	524814.0	5.71468705082974	0.3239355261844649	0.6709069466389486	gene
Pigr	415.015	33632.0	117380.0	3.490128449096099	0.35435445121048664	0.6101142147639829	gene
Glul	468.975	31771.0	125039.0	3.9356331245475435	0.35552960415003987	0.5778180479497272	gene
Pck1	240.825	26849.0	106257.0	3.957577563410183	0.3707059044053862	0.701094110665256	gene
G6pc	88.44	17113.0	56988.0	3.33009992403436	0.36768804804097815	0.5185614546313289	gene
Uox	214.465	16503.0	55472.0	3.361328243349694	0.3637843447375411	0.5698756127581532	gene
Dpyd	47.48	11362.0	43006.0	3.7850730505192747	0.35893927728287683	0.578682854843543	gene
Bcl9l	13.905	11326.0	32627.0	2.880716934487021	0.37984543086164524	0.48516669285559805	gene
Gpam	62.76	9487.0	32591.0	3.4353325603457363	0.3616711040690721	0.6041913554712172	gene
Uba1	44.295	7352.0	19307.0	2.626088139281828	0.3891918874429166	0.4235455381837462	gene
Gns	41.835	6733.0	22075.0	3.2786276548343976	0.3662675792524601	0.5499543949814031	gene
Hnf4a	192.86	6188.0	19970.0	3.2272139625080802	0.3734014333701889	0.6125052065660003	gene
Krt7	0.15	6154.0	14402.0	2.3402664933376665	0.4070543278505196	0.3680155585398046	gene
Cpt1a	83.455	5754.0	16077.0	2.7940563086548487	0.3829995474233697	0.4561138823482856	gene
Zcchc24	36.745	4981.0	14784.0	2.9680786990564143	0.37535967699093076	0.509651538720853	gene
Glud1	458.63	4906.0	14038.0	2.861394211169996	0.38491994112433264	0.5008620576622966	gene
Clptm1	46.29	4461.0	12094.0	2.7110513337816635	0.3845967531746546	0.4524241352890646	gene
Mphosph9	0.35	4027.0	9431.0	2.3419418922274646	0.39803177495506153	0.39289256859371685	gene
1700017B05Rik	2.22	3974.0	9457.0	2.379718168092602	0.40268595887888575	0.40532687487951957	gene
Hs3st3b1	39.09	3924.0	12503.0	3.186289500509684	0.37037290263012834	0.5112879953152317	gene
Golga4	1.635	3902.0	11926.0	3.0563813429010764	0.38190516706557837	0.5045517338065932	gene
Sox9	1.465	3687.0	9385.0	2.545429888798481	0.4025344782994891	0.4911798874763873	gene
Plxnb2	51.585	3656.0	10961.0	2.9980853391684903	0.3781281333349978	0.5099489173882337	gene
Stat2	14.09	3588.0	10206.0	2.8444816053511706	0.3892893032409668	0.4929736408950467	gene
Ddx17	44.795	3476.0	10052.0	2.8918296892980435	0.3753754622379686	0.4707578465032312	gene
Il4ra	12.125	3347.0	8185.0	2.4454735584105167	0.3974054023395427	0.42251025743493187	gene
Ube2z	14.96	3234.0	7983.0	2.468460111317254	0.39714630237807286	0.4067769763752961	gene
Cftr	0.015	2705.0	6201.0	2.2924214417744917	0.4018756202918839	0.422639936145514	gene
Lrrc3	41.08	2559.0	6755.0	2.639703008987886	0.3942035756131169	0.436465827463948	gene
Igf1	917.47	2543.0	6604.0	2.5969327565867086	0.3838940260929895	0.46584385037008896	gene
Tbx3	7.64	2505.0	6149.0	2.454690618762475	0.3938485153351358	0.4369700260859781	gene
Flnb	9.0	2497.0	7282.0	2.9162995594713657	0.37766589197967954	0.4935323677087014	gene
Atp11b	3.06	2466.0	5644.0	2.2887266828872668	0.4023270648920333	0.38711834085984526	gene
Ganab	75.595	2360.0	6698.0	2.838135593220339	0.3880749345280532	0.527269326113973	gene
Abcc3	95.665	2307.0	6547.0	2.8378846987429562	0.38122715978536453	0.5406678641656321	gene
Acly	76.455	2301.0	6501.0	2.8252933507170797	0.3851895421658674	0.542329260689177	gene
Sgpp2	0.06	2231.0	5119.0	2.2944867772299418	0.41037371088305313	0.400987786654335	gene
Zhx2	4.12	2190.0	5962.0	2.7223744292237444	0.3936966121581787	0.45385904555901324	gene
Zdhhc5	23.35	1934.0	5662.0	2.9276111685625645	0.3853474123372143	0.4671827099820596	gene
Cog3	3.19	1746.0	4184.0	2.3963344788087055	0.402472635150895	0.40922764885909785	gene
Cdc42bpb	24.09	1655.0	4716.0	2.849546827794562	0.3810650619582085	0.45823051251814334	gene
Egflam	0.065	1609.0	3607.0	2.2417650714729644	0.4085352473074937	0.38981749384372644	gene
Scap	44.66	1585.0	4520.0	2.8517350157728707	0.3840852849795092	0.569224786595855	gene
Slc38a2	14.77	1439.0	3715.0	2.5816539263377347	0.39395060112308566	0.4493329716458501	gene
C3ar1	0.56	1363.0	3061.0	2.2457813646368305	0.40749080063021287	0.41615636033707	gene
Scube1	0.1	1288.0	2941.0	2.283385093167702	0.4078121861440351	0.3902974233047172	gene
Ddx3x	11.145	1240.0	3231.0	2.6056451612903224	0.39436058457086354	0.45998066680359595	gene
Hnf1b	9.715	1220.0	2785.0	2.2827868852459017	0.41085904381752475	0.41101375579121674	gene
