gene_names	FPKM_data	spot_count	pixel_count	mean_pixels	mean_closest_distance	property	gene_or_blank
Ahnak	236.0856	12820.0	41579.0	3.2432917316692667	0.19230111817225498	0.8939120095526184	gene
Kpnb1	193.7558	11033.0	32929.0	2.984591679506934	0.19963451088171846	0.8055517389968314	gene
Flna	173.0184	8696.0	25277.0	2.906738730450782	0.20085072068947565	0.8115075860026846	gene
Myof	154.2339	7624.0	23187.0	3.041316894018888	0.19986958663472404	0.8430085035124955	gene
Prrc2c	24.3771	5716.0	17523.0	3.0656053184044785	0.2010102286353611	0.9066004490932732	gene
Cgnl1	24.2009	4468.0	14105.0	3.1568934646374216	0.19850893078927678	0.972827645513025	gene
Arhgef12	20.3522	4462.0	12814.0	2.871806364858808	0.20320317994109852	0.8476263629961983	gene
Myo5c	38.7977	4435.0	13577.0	3.061330326944758	0.20225485503684382	0.9417089916513898	gene
Dync1h1	31.0827	4307.0	20406.0	4.737868586022754	0.1848150384880736	1.2802274410761922	gene
Arhgef5	30.2495	4263.0	12642.0	2.9655172413793105	0.19679403427905004	0.9650293279363866	gene
Cdc42bpb	13.1609	4234.0	12687.0	2.9964572508266416	0.19965716733968233	0.9724868495037251	gene
Mllt4	50.9298	4213.0	12488.0	2.9641585568478517	0.1968280312522422	0.9187298762183953	gene
Ppl	17.2285	4157.0	14534.0	3.496271349530912	0.1925918567928005	1.114545211512879	gene
Abhd2	54.3027	4012.0	11720.0	2.92123629112662	0.19593621423913896	0.886167313091957	gene
Myo18a	58.0374	3857.0	11470.0	2.9738138449572205	0.19710317111203599	1.0180142914002388	gene
Utrn	12.3318	3849.0	14258.0	3.704338789295921	0.1906670504478663	1.0972314839722939	gene
Rnf213	5.0865	3815.0	12716.0	3.3331585845347314	0.19912418906174162	1.090414694903654	gene
Larp1	14.0446	3424.0	10139.0	2.9611565420560746	0.19842538798352669	0.859157493371969	gene
Rapgef1	8.902000000000001	3378.0	10867.0	3.2169923031379515	0.1916090465021871	0.9968361124218544	gene
Onecut2	3.8344	2908.0	8976.0	3.0866574965612106	0.20117591621723044	0.9133692092175079	gene
Golga4	23.0089	2886.0	8245.0	2.856895356895357	0.20439272512697	0.9717902217024084	gene
Abcc2	13.3131	2828.0	8635.0	3.0533946251768036	0.19641417070044945	0.8992558705428998	gene
Tnrc18	6.6458	2692.0	8443.0	3.136329866270431	0.2027984861188559	0.9222134789469437	gene
Map4	14.1386	2542.0	8071.0	3.175059008654603	0.19711969206950986	0.8658531311094756	gene
Mki67	37.821999999999996	2523.0	7843.0	3.108600871977804	0.19799664286699473	0.8654104318379177	gene
Polr2a	3.9096	2511.0	6852.0	2.728793309438471	0.21731660061484318	1.0406451866331232	gene
Sbf1	24.206999999999997	2483.0	7275.0	2.9299234796616997	0.1977655008679538	0.95499626665474	gene
Plxna1	17.1436	2462.0	6621.0	2.6892770105605197	0.21001919133976646	0.838317521379051	gene
Tnpo1	86.9988	2363.0	6212.0	2.6288616165890817	0.19958557896397014	0.8319939142988086	gene
Slk	81.5086	2271.0	6545.0	2.8819903126376047	0.20309136893253293	0.7847074384313646	gene
Wdr81	6.61	2234.0	7362.0	3.295434198746643	0.19335629164447699	0.9645062222816724	gene
Arfgef1	22.058000000000003	2172.0	5563.0	2.5612338858195214	0.20450206628966855	0.8367072456023635	gene
Arhgap35	17.0046	2046.0	5948.0	2.9071358748778104	0.19794717262491543	0.8940618792837507	gene
Nipbl	11.5482	1988.0	5917.0	2.97635814889336	0.19707484694219388	0.8974033575911687	gene
Nbeal2	22.7269	1961.0	6236.0	3.1800101988781235	0.20180213983682777	0.8911074656489604	gene
Rfx7	6.3641	1954.0	5712.0	2.9232343909928353	0.19556049616294396	0.9875523784596429	gene
Nf1	7.3464	1923.0	5565.0	2.8939157566302653	0.19853464960753275	0.8327894801612172	gene
Polr1a	35.0729	1911.0	5573.0	2.9162742019884877	0.2015910651686368	0.9041641773417203	gene
Arid1a	2.9113	1833.0	5627.0	3.0698308783415165	0.20452802117854807	0.8807208444306758	gene
Nav2	2.7094	1796.0	6062.0	3.3752783964365256	0.19413904331094906	1.0545464375104763	gene
Kntc1	19.5018	1787.0	5378.0	3.009513150531617	0.19853399606526553	0.906353884329082	gene
Son	42.8623	1724.0	4661.0	2.703596287703016	0.21148980898509853	0.9546734399628471	gene
Aars	70.6912	1716.0	4606.0	2.684149184149184	0.2041931134744035	0.7926802065106731	gene
Ep300	6.7401	1699.0	4655.0	2.7398469688051796	0.202409239056832	0.9169234501268968	gene
Itpr2	2.8832	1690.0	5805.0	3.43491124260355	0.19143895558388505	1.0588611952108589	gene
Mlec	47.8277	1627.0	4426.0	2.720344191763983	0.2041739853531835	0.7917534221275073	gene
Abca3	13.9371	1616.0	4679.0	2.895420792079208	0.20024577563229232	0.8596256774088082	gene
Med12	5.8026	1553.0	4681.0	3.0141661300708305	0.20321171249798917	1.0013383278433736	gene
Crebbp	3.0552	1545.0	4147.0	2.6841423948220067	0.21143030942374813	0.8579806810703281	gene
Tjp1	42.1997	1540.0	3915.0	2.542207792207792	0.20736690302457694	0.7945410106564433	gene
Ubn1	8.431000000000001	1512.0	4622.0	3.056878306878307	0.19430098462026552	0.9983711579676215	gene
Tmem2	18.6815	1500.0	4355.0	2.9033333333333333	0.1970190294489728	0.9355820664565575	gene
Heatr1	27.1337	1484.0	4103.0	2.7648247978436657	0.20000748068620766	0.9006331479728131	gene
Qser1	2.0168	1428.0	4442.0	3.1106442577030813	0.19705954219025826	0.8822247983954218	gene
Cand1	86.0633	1413.0	3918.0	2.7728237791932058	0.200848579302259	0.7764515441398043	gene
Nin	10.9574	1237.0	3520.0	2.845594179466451	0.21403275718578385	0.9866965843114297	gene
Rc3h1	12.3175	1235.0	3231.0	2.6161943319838055	0.20962214022440212	0.8266558576517783	gene
Prpf8	51.1044	1230.0	2920.0	2.3739837398373984	0.221069151164953	1.0016411023481995	gene
Cnot1	45.7584	1219.0	3350.0	2.7481542247744053	0.19897913056427452	0.8458535028927953	gene
