gene_names	FPKM_data	spot_count	pixel_count	mean_pixels	mean_closest_distance	property	gene_or_blank
Kif5a	342.67	57904.0	233363.0	4.030170627245095	0.19797108993097545	0.7753531699802413	gene
Map1a	82.56	16096.0	67783.0	4.211170477137177	0.2106767732764871	0.7270216789912494	gene
Itpr1	36.325	11543.0	47411.0	4.107337780473014	0.20691478592335363	0.8149925787192865	gene
Atp1a2	185.775	9507.0	34194.0	3.5967182076364783	0.20060409076438698	0.745036196689143	gene
Kif1a	120.305	7430.0	28129.0	3.7858681022880214	0.21529544590554414	0.7014687143804789	gene
Sptbn2	78.255	7266.0	24286.0	3.3424167354803194	0.22414861976366934	0.6826159031833932	gene
Cdc42bpb	34.105	3740.0	14636.0	3.9133689839572194	0.20554717253502666	0.8318915433114404	gene
Hivep2	37.99	3700.0	12340.0	3.3351351351351353	0.20882529344323733	0.7505910762607702	gene
Macf1	69.81	3614.0	13135.0	3.634477033757609	0.21141108587497667	0.8783984399677028	gene
Rapgef1	30.53	3103.0	13246.0	4.268772155978086	0.196546154381843	0.7468381668838202	gene
Srgap3	49.765	2848.0	8333.0	2.925912921348315	0.21617181784623324	0.7646192668162781	gene
Akap6	15.605	2841.0	9585.0	3.3738120380147834	0.21690834215554283	0.8641844346859896	gene
Dync1h1	34.97	2822.0	8538.0	3.0255138199858256	0.23617892955861286	0.9801575180464607	gene
Arhgef12	24.395	2746.0	10106.0	3.6802621995630007	0.21021009771386456	0.6945396400864463	gene
Dab2ip	27.27	2612.0	10640.0	4.073506891271057	0.20200690855702383	0.7173389828268152	gene
Sbf1	37.735	2593.0	7866.0	3.0335518704203626	0.2084046406012224	0.7048010836378119	gene
Map4	90.515	2591.0	12715.0	4.907371671169432	0.19033882685377326	0.6622630227704035	gene
Myo18a	19.285	2241.0	8479.0	3.7835787594823738	0.21044768649825635	0.8316539213925253	gene
Son	90.75	2163.0	5849.0	2.704114655570966	0.2250042927861572	0.8542396274929526	gene
Kif21a	21.525	2158.0	6486.0	3.005560704355885	0.21582767952135287	0.7751406911156894	gene
Daam2	15.99	2072.0	7331.0	3.538127413127413	0.19732095232766844	0.7697508700524179	gene
Mkl2	26.125	2016.0	6344.0	3.1468253968253967	0.22000597067676564	0.7907831291149465	gene
Arhgap35	19.845	2016.0	6817.0	3.3814484126984126	0.21088239945736775	0.765779842741799	gene
Prpf8	36.85	1964.0	6359.0	3.2377800407331976	0.21428805406182933	0.8008343154638824	gene
Prrc2c	21.175	1935.0	5809.0	3.002067183462532	0.21621859800137114	0.7830894872308226	gene
Erc2	17.365	1871.0	6329.0	3.382683057188669	0.21342017266109045	0.9486203394212651	gene
Cacna1e	18.545	1776.0	5311.0	2.9904279279279278	0.2249415265291804	0.7831316269748458	gene
Fry	13.31	1679.0	5510.0	3.2817153067301965	0.21478147032288158	0.8643751647546866	gene
Dock9	14.375	1676.0	4760.0	2.840095465393795	0.21857423687842725	0.7997368933340536	gene
1700020I14Rik	52.255	1663.0	5097.0	3.0649428743235116	0.220517257049678	0.6516036433896706	gene
Ctif	10.86	1618.0	6101.0	3.7707045735475897	0.20631014556107025	0.7761622461652974	gene
Grik3	15.785	1614.0	5325.0	3.299256505576208	0.2172967294499908	0.8058876660732189	gene
Larp1	18.37	1582.0	5859.0	3.7035398230088497	0.20369462551651693	0.7481442561532584	gene
Dzank1	30.275	1565.0	5043.0	3.2223642172523963	0.21679975431397744	0.5964034539888458	gene
Crebbp	12.09	1503.0	5126.0	3.4105123087159015	0.21488496166678384	0.7343265332278169	gene
Polr2a	12.235	1484.0	4656.0	3.137466307277628	0.21335724405851145	0.7905438494285046	gene
Wdr7	16.735	1477.0	4390.0	2.972241029113067	0.22076251660547036	0.7639718970670456	gene
Map3k9	7.035	1436.0	5356.0	3.7298050139275767	0.2107998049986188	0.7246302504612576	gene
Tnrc18	6.745	1373.0	4181.0	3.045156591405681	0.2146160587230407	0.7362730690815652	gene
Ntrk2	70.06	1349.0	3669.0	2.7197924388435877	0.22476613941526843	0.9032742598532938	gene
Rims3	23.255	1339.0	4147.0	3.0970873786407767	0.20669452158758383	0.7037712896732523	gene
Cand1	12.2	1330.0	3864.0	2.905263157894737	0.21331156031274473	0.7669664404020555	gene
Akap11	21.08	1228.0	3232.0	2.6319218241042344	0.221562296344475	0.7611009970637891	gene
Ahnak	2.77	1219.0	4905.0	4.023789991796555	0.19519141325167272	0.9368480558219758	gene
Slc38a1	26.725	1208.0	3353.0	2.7756622516556293	0.2216868730959339	0.7389539261460958	gene
Arid1a	22.855	1186.0	3690.0	3.111298482293423	0.2132792362513577	0.6950665688130784	gene
Csmd1	1.875	1179.0	4541.0	3.8515691263782865	0.21111289242377423	1.1136798804092096	gene
Plxna1	11.83	1114.0	3510.0	3.1508078994614004	0.21708042291068058	0.7805866492083988	gene
Psd3	46.12	1108.0	3676.0	3.3176895306859207	0.2084396097004492	0.5889778582762627	gene
Dip2c	10.925	1092.0	3433.0	3.1437728937728937	0.22105531267236858	0.8065241978175386	gene
Spag9	52.235	1080.0	3094.0	2.8648148148148147	0.22298688791492158	0.6692297523323579	gene
Golga4	10.11	1040.0	2874.0	2.7634615384615384	0.22393780973976926	0.7787948367410134	gene
Ksr2	3.68	1037.0	3966.0	3.824493731918997	0.2072298563130209	0.784917451334831	gene
Rc3h1	4.415	996.0	3018.0	3.0301204819277108	0.211106545436015	0.7891675453753524	gene
Nf1	14.415	937.0	2648.0	2.826040554962647	0.21788714096196565	0.7208123572193621	gene
Nedd4l	13.655	921.0	2458.0	2.6688382193268185	0.21947425607840668	0.7559302791522478	gene
Chst2	15.45	888.0	3300.0	3.7162162162162162	0.20378764775412417	0.6316828310494313	gene
Rnf150	5.98	877.0	2798.0	3.1904218928164196	0.21902585834630053	0.8162346306015368	gene
Arhgap31	4.68	872.0	3324.0	3.811926605504587	0.20590132055306531	0.8220940126493691	gene
Synm	4.135	870.0	3450.0	3.9655172413793105	0.20871880849065547	0.7708784168820835	gene
Ep400	10.795	854.0	2837.0	3.322014051522248	0.21400009444605161	0.7521307881538867	gene
Nhsl2	4.555	849.0	2975.0	3.5041224970553593	0.2085980050794016	0.7621315154540867	gene
Kpnb1	25.755	841.0	2335.0	2.7764565992865635	0.22265111792888473	0.6746028286335884	gene
Smg7	16.41	829.0	2333.0	2.814234016887817	0.2183789202825705	0.713292894619456	gene
Utrn	5.64	801.0	3236.0	4.039950062421973	0.2059434228776011	0.9106340986799814	gene
Nhsl1	4.935	799.0	2810.0	3.5168961201501876	0.19417475534456752	0.7097353537072406	gene
Mllt4	16.61	790.0	2316.0	2.9316455696202532	0.22238895977372236	0.7771617744473177	gene
Tjp1	15.84	772.0	2333.0	3.022020725388601	0.20590769162349676	0.6770965050703027	gene
Myo6	11.75	767.0	2727.0	3.555410691003911	0.20317811124346283	0.6039800756895821	gene
Caskin1	32.07	727.0	2066.0	2.8418156808803303	0.22067574019191094	0.6217591915462414	gene
Armcx4	6.98	680.0	2059.0	3.027941176470588	0.2160931879799602	0.769472833359153	gene
Nfia	9.09	662.0	2305.0	3.4818731117824773	0.208935613972485	0.6606076128779558	gene
Dcaf5	16.135	660.0	1913.0	2.8984848484848484	0.21577397498848505	0.6726073936157977	gene
4932438A13Rik	16.97	651.0	1661.0	2.5514592933947773	0.22524728453771484	0.8186852486372295	gene
Nin	6.64	628.0	1950.0	3.105095541401274	0.2253483685187949	0.8705738982348019	gene
Myh10	24.0	620.0	1559.0	2.514516129032258	0.23433407245463872	0.6852423901120585	gene
Plcxd2	12.515	611.0	1924.0	3.148936170212766	0.21308464139540487	0.7201534330472106	gene
Brwd1	25.78	610.0	1756.0	2.878688524590164	0.2254691999776058	0.82623791644697	gene
Ogt	102.26	598.0	1560.0	2.608695652173913	0.22408225194657982	0.754330786515741	gene
Plxnc1	6.29	580.0	1479.0	2.55	0.2248947576375047	0.7046773594384339	gene
Nav2	11.265	577.0	1810.0	3.1369150779896016	0.22282166833515663	0.8388197199792587	gene
Flna	21.145	576.0	1824.0	3.1666666666666665	0.2241125987559471	0.8299179081128363	gene
Ppfia2	15.425	575.0	1775.0	3.0869565217391304	0.21545890228575348	0.6685523413348886	gene
Nat8l	58.45	562.0	1538.0	2.736654804270463	0.21759393472513672	0.5970800113312591	gene
Baz2a	13.83	561.0	1771.0	3.156862745098039	0.22239563710120042	0.7551531575024525	gene
Kdm7a	5.275	556.0	1546.0	2.7805755395683454	0.2195189746705099	0.7562482896442823	gene
Kif13a	3.495	543.0	1871.0	3.445672191528545	0.2093803287674735	0.789479364614574	gene
Qser1	2.645	542.0	1658.0	3.059040590405904	0.21311517171177508	0.7656160137490591	gene
Myo9a	7.275	538.0	1574.0	2.925650557620818	0.22035210959916798	0.7133449216699559	gene
Cacna1a	20.9	527.0	1463.0	2.7760910815939277	0.23026982429106707	0.7341571902375962	gene
Trove2	5.505	526.0	1412.0	2.6844106463878328	0.2162146662758989	0.7402089465348948	gene
Reps2	11.375	518.0	1338.0	2.583011583011583	0.2182155478807133	0.6662733265986682	gene
